cluster,danceability,energy,valence,tempo,acousticness,instrumentalness,loudness,speechiness,liveness,segment_name
0,0.5307297662764073,0.37797522967555186,0.3916431334514192,113.15732807707262,0.6762606090478248,0.02819339336026267,-10.607250356417678,0.05340678273642372,0.15936123903745628,Mellow Acoustic & Romance
1,0.5860066318224659,0.7423359095193215,0.34107448119269984,126.8754133321909,0.11127739758632509,0.7889120041127581,-8.371625139233998,0.07119257133064862,0.17370821694799074,Electronic Instrumentals
2,0.3494746149614961,0.16946644405940595,0.1879259036028603,103.17928644114411,0.8663317923473598,0.7863161509818481,-21.223627200220022,0.05157468371837184,0.1614960808580858,Classical & Ambient
3,0.5318647942937206,0.7439736926378805,0.5044835307604127,120.18703209782193,0.35442108676856454,0.05249822358425678,-7.570130429244682,0.19529690485288498,0.7510464908928799,Live & World Music
4,0.7053084882161333,0.7210430569621986,0.6934717707278352,117.6375746037829,0.20848494188295513,0.018172780955848136,-6.3982881504393285,0.09305720307667041,0.1654079602003668,Feel Good Dance & Urban
5,0.4733915570908551,0.816003603001263,0.3771875804175024,139.75757343436595,0.07424329759936112,0.03234877425339871,-5.3208660203551,0.0821162580788946,0.19877937003194412,High Energy Rock & Metal
